Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,13,287.0,254,46.0,74,12,0,17,5,3,28,53,1.89,0.291,0.362,0.539,0.902,137.0,4.0,2.0,0,3,0,1,0.305,100,150,45
Season Totals,Last 7 days,2,38.0,34,9.0,12,1,0,4,3,1,4,5,1.25,0.353,0.421,0.735,1.156,25.0,0.0,0.0,0,0,0,0,0.32,153,232,7
Season Totals,Last 14 days,3,57.0,50,12.0,16,2,0,5,3,1,7,10,1.43,0.32,0.404,0.66,1.064,33.0,0.0,0.0,0,0,0,0,0.314,134,196,9
Season Totals,Last 28 days,3,57.0,50,12.0,16,2,0,5,3,1,7,10,1.43,0.32,0.404,0.66,1.064,33.0,0.0,0.0,0,0,0,0,0.314,134,188,9
Season Totals,Last 365 days,19,448.0,397,70.0,110,21,2,20,8,4,42,78,1.86,0.277,0.353,0.491,0.844,195.0,4.0,6.0,0,3,1,2,0.298,89,,67
Platoon Splits,vs RHB,13,133.0,118,20.0,34,6,0,9,4,2,13,28,2.15,0.288,0.368,0.568,0.936,67.0,1.0,2.0,0,0,0,1,0.309,107,162,19
Platoon Splits,vs LHB,13,154.0,136,24.0,40,6,0,8,1,1,15,25,1.67,0.294,0.357,0.515,0.872,70.0,3.0,0.0,0,3,0,0,0.302,94,139,26
Platoon Splits,vs RHB as RHP,13,133.0,118,20.0,34,6,0,9,4,2,13,28,2.15,0.288,0.368,0.568,0.936,67.0,1.0,2.0,0,0,0,1,0.309,107,168,19
Platoon Splits,vs LHB as RHP,13,154.0,136,24.0,40,6,0,8,1,1,15,25,1.67,0.294,0.357,0.515,0.872,70.0,3.0,0.0,0,3,0,0,0.302,94,136,26
Home or Away,Home,8,163.0,142,24.0,35,5,0,11,5,1,20,35,1.75,0.247,0.344,0.514,0.858,73.0,2.0,1.0,0,0,0,0,0.25,90,142,19
Home or Away,Away,5,124.0,112,22.0,39,7,0,6,0,2,8,18,2.25,0.348,0.387,0.571,0.959,64.0,2.0,1.0,0,3,0,1,0.363,113,163,26
First or Second Half,1st Half,10,230.0,204,34.0,58,10,0,12,2,2,21,43,2.05,0.284,0.352,0.51,0.862,104.0,4.0,2.0,0,3,0,1,0.303,92,141,36
