Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,605.0,544,75.0,138,31,3,21,18,4,38,113,2.97,0.254,0.314,0.438,0.752,238.0,14.0,13.0,2,7,0,4,0.281,100,110,83
Season Totals,Last 7 days,2,48.0,46,8.0,16,3,0,3,0,2,1,12,12.0,0.348,0.375,0.609,0.984,28.0,0.0,1.0,0,0,0,0,0.419,159,184,10
Season Totals,Last 14 days,3,73.0,68,11.0,19,3,0,4,0,2,4,16,4.0,0.279,0.329,0.5,0.829,34.0,2.0,1.0,0,0,0,0,0.313,119,132,12
Season Totals,Last 28 days,5,121.0,114,12.0,25,5,0,4,1,3,6,30,5.0,0.219,0.265,0.368,0.633,42.0,3.0,1.0,0,0,0,0,0.263,68,73,16
Season Totals,Last 365 days,33,771.0,690,93.0,176,41,3,27,20,5,56,147,2.63,0.255,0.322,0.441,0.762,304.0,17.0,15.0,2,7,2,5,0.285,103,,105
Platoon Splits,vs RHB,26,477.0,427,56.0,112,26,1,18,16,3,33,83,2.52,0.262,0.326,0.454,0.781,194.0,10.0,10.0,1,5,0,3,0.284,108,120,67
Platoon Splits,vs LHB,24,128.0,117,14.0,26,5,2,3,2,1,5,30,6.0,0.222,0.268,0.376,0.644,44.0,4.0,3.0,1,2,0,1,0.267,71,77,16
Platoon Splits,vs RHB as LHP,26,477.0,427,56.0,112,26,1,18,16,3,33,83,2.52,0.262,0.326,0.454,0.781,194.0,10.0,10.0,1,5,0,3,0.284,108,111,67
Platoon Splits,vs LHB as LHP,24,128.0,117,14.0,26,5,2,3,2,1,5,30,6.0,0.222,0.268,0.376,0.644,44.0,4.0,3.0,1,2,0,1,0.267,71,91,16
Home or Away,Home,13,298.0,266,41.0,73,13,2,9,13,3,13,52,4.0,0.274,0.331,0.44,0.771,117.0,5.0,12.0,1,5,0,3,0.305,106,119,49
Home or Away,Away,13,307.0,278,34.0,65,18,1,12,5,1,25,61,2.44,0.234,0.297,0.435,0.733,121.0,9.0,1.0,1,2,0,1,0.256,94,101,34
First or Second Half,1st Half,19,431.0,380,52.0,95,23,3,14,16,0,32,76,2.38,0.25,0.32,0.437,0.757,166.0,9.0,10.0,2,6,0,2,0.274,102,113,55
First or Second Half,2nd Half,7,174.0,164,23.0,43,8,0,7,2,4,6,37,6.17,0.262,0.299,0.439,0.738,72.0,5.0,3.0,0,1,0,2,0.298,96,102,28
Months,April/March,6,136.0,120,17.0,26,5,1,5,8,0,11,24,2.18,0.217,0.291,0.4,0.691,48.0,3.0,2.0,1,1,0,0,0.228,84,97,15
Months,May,6,140.0,126,14.0,30,9,2,3,3,0,8,21,2.63,0.238,0.281,0.413,0.693,52.0,3.0,1.0,1,4,0,1,0.255,84,98,16
Months,June,5,112.0,96,20.0,33,8,0,5,2,0,10,17,1.7,0.344,0.429,0.583,1.012,56.0,3.0,5.0,0,1,0,0,0.373,170,180,20
Months,July,5,119.0,110,12.0,27,5,0,4,4,2,4,30,7.5,0.246,0.294,0.4,0.694,44.0,3.0,4.0,0,1,0,3,0.299,85,89,18
Months,August,4,98.0,92,12.0,22,4,0,4,1,2,5,21,4.2,0.239,0.286,0.413,0.699,38.0,2.0,1.0,0,0,0,0,0.269,85,92,14
Game Outcome for Pitcher,in Wins,10,233.0,214,13.0,39,4,1,6,9,1,14,51,3.64,0.182,0.24,0.294,0.535,63.0,8.0,3.0,0,2,0,2,0.208,44,104,28
Game Outcome for Pitcher,in Losses,9,212.0,184,49.0,64,16,2,10,7,1,14,34,2.43,0.348,0.408,0.62,1.027,114.0,2.0,8.0,1,5,0,2,0.372,172,111,36
Game Outcome for Pitcher,in No Dec.,7,160.0,146,13.0,35,11,0,5,2,2,10,28,2.8,0.24,0.298,0.418,0.715,61.0,4.0,2.0,1,0,0,0,0.266,90,103,19
Pitching Role,as Starter,26,605.0,544,75.0,138,31,3,21,18,4,38,113,2.97,0.254,0.314,0.438,0.752,238.0,14.0,13.0,2,7,0,4,0.281,100,107,83
Run Support,0-2 Runs Scored,11,264.0,233,36.0,62,13,0,10,5,3,17,51,3.0,0.266,0.332,0.451,0.783,105.0,3.0,8.0,1,4,0,2,0.296,109,109,39
Run Support,3-5 Runs Scored,11,242.0,218,26.0,51,15,3,5,12,1,16,45,2.81,0.234,0.299,0.399,0.698,87.0,7.0,5.0,1,2,0,2,0.271,86,96,28
Run Support,6+ Runs Scored,4,99.0,93,13.0,25,3,0,6,1,0,5,17,3.4,0.269,0.303,0.495,0.798,46.0,4.0,0.0,0,1,0,0,0.268,110,121,16
Batting Order Positions,Batting 1st,26,80.0,75,15.0,26,6,0,4,3,0,4,13,3.25,0.347,0.388,0.587,0.974,44.0,1.0,1.0,0,0,0,1,0.379,158,163,16
Batting Order Positions,Batting 2nd,26,78.0,73,13.0,22,4,1,6,4,1,1,13,13.0,0.301,0.312,0.63,0.942,46.0,3.0,1.0,0,2,0,0,0.286,143,141,11
Batting Order Positions,Batting 3rd,26,74.0,70,9.0,15,2,0,4,1,0,4,18,4.5,0.214,0.257,0.414,0.671,29.0,2.0,0.0,0,0,0,0,0.229,76,69,9
Batting Order Positions,Batting 4th,26,70.0,66,6.0,18,5,0,0,0,1,2,13,6.5,0.273,0.286,0.349,0.634,23.0,1.0,0.0,0,2,0,0,0.327,71,73,13
Batting Order Positions,Batting 5th,26,67.0,55,6.0,12,3,1,2,2,0,7,10,1.43,0.218,0.343,0.418,0.762,23.0,1.0,4.0,0,1,0,0,0.227,105,112,6
Batting Order Positions,Batting 6th,26,64.0,57,8.0,13,1,1,2,1,0,3,15,5.0,0.228,0.297,0.386,0.683,22.0,4.0,3.0,0,1,0,0,0.268,83,99,9
Batting Order Positions,Batting 7th,26,60.0,52,7.0,11,2,0,1,1,1,7,10,1.43,0.212,0.317,0.308,0.624,16.0,1.0,1.0,0,0,0,0,0.244,71,84,8
Batting Order Positions,Batting 8th,26,57.0,50,1.0,11,3,0,0,2,0,5,6,1.2,0.22,0.298,0.28,0.578,14.0,1.0,1.0,0,1,0,2,0.244,59,78,8
Batting Order Positions,Batting 9th,26,55.0,46,5.0,10,5,0,2,4,1,5,15,3.0,0.217,0.321,0.457,0.777,21.0,0.0,2.0,2,0,0,1,0.276,107,148,3
Batting Order Positions,"Bat1-2,non-P",26,158.0,148,28.0,48,10,1,10,7,1,5,26,5.2,0.324,0.35,0.608,0.958,90.0,4.0,2.0,0,2,0,1,0.333,150,152,27
Batting Order Positions,"Bat3-6,non-P",26,275.0,248,29.0,58,11,2,8,4,1,16,56,3.5,0.234,0.295,0.391,0.686,97.0,8.0,7.0,0,4,0,0,0.266,83,87,37
Batting Order Positions,"Bat7-9,non-P",26,172.0,148,13.0,32,10,0,3,7,2,17,31,1.82,0.216,0.312,0.345,0.656,51.0,2.0,4.0,2,1,0,3,0.252,78,101,19
Swung or Took First Pitch of PA,Swung at 1st Pitch,26,209.0,202,33.0,58,19,1,9,,,1,30,30.0,0.287,0.3,0.525,0.824,106.0,4.0,3.0,2,1,0,1,0.299,115,130,29
Swung or Took First Pitch of PA,Took 1st Pitch,26,396.0,342,37.0,80,12,2,12,,,37,83,2.24,0.234,0.322,0.386,0.708,132.0,10.0,10.0,0,6,0,3,0.269,91,98,54
Count/Balls-Strikes,First Pitch,24,88.0,85,17.0,34,11,1,6,,,0,0,,0.4,0.407,0.765,1.172,65.0,2.0,1.0,2,0,0,1,0.354,204,156,16
Count/Balls-Strikes,1-0 Count,23,43.0,40,8.0,15,4,1,2,,,0,0,,0.375,0.372,0.675,1.047,27.0,5.0,1.0,0,2,0,0,0.325,173,127,8
Count/Balls-Strikes,2-0 Count,7,10.0,9,2.0,3,1,0,0,,,0,0,,0.333,0.4,0.444,0.844,4.0,0.0,1.0,0,0,0,0,0.333,129,88,2
Count/Balls-Strikes,3-0 Count,5,5.0,2,0.0,1,0,0,0,,,3,0,0.0,0.5,0.8,0.5,1.3,1.0,0.0,0.0,0,0,0,0,0.5,269,40,1
Count/Balls-Strikes,0-1 Count,22,54.0,49,15.0,18,4,0,4,,,0,0,,0.367,0.426,0.694,1.12,34.0,1.0,5.0,0,0,0,0,0.311,194,164,10
Count/Balls-Strikes,1-1 Count,16,43.0,42,6.0,12,2,0,4,,,0,0,,0.286,0.302,0.619,0.921,26.0,2.0,1.0,0,0,0,0,0.211,138,111,6
Count/Balls-Strikes,2-1 Count,15,21.0,20,1.0,2,0,0,0,,,0,0,,0.1,0.095,0.1,0.195,2.0,1.0,0.0,0,1,0,0,0.095,-47,-55,2
Count/Balls-Strikes,3-1 Count,17,29.0,11,1.0,4,1,0,0,,,18,0,0.0,0.364,0.759,0.455,1.213,5.0,0.0,0.0,0,0,0,0,0.364,246,80,3
Count/Balls-Strikes,0-2 Count,25,56.0,55,2.0,10,4,0,0,,,0,19,,0.182,0.179,0.255,0.433,14.0,0.0,0.0,0,1,0,2,0.27,15,127,6
Count/Balls-Strikes,1-2 Count,25,93.0,92,7.0,15,2,0,2,,,0,33,,0.163,0.161,0.25,0.411,23.0,2.0,0.0,0,1,0,0,0.224,8,97,11
Count/Balls-Strikes,2-2 Count,25,82.0,77,7.0,15,2,1,2,,,0,31,,0.195,0.222,0.325,0.547,25.0,1.0,3.0,0,1,0,1,0.289,45,145,10
Count/Balls-Strikes,Full Count,24,81.0,62,4.0,9,0,0,1,,,17,30,1.76,0.145,0.333,0.194,0.527,12.0,0.0,1.0,0,1,0,0,0.25,50,32,8
Count/Balls-Strikes,After 1-0,26,214.0,176,16.0,41,5,2,5,,,32,38,1.19,0.233,0.355,0.369,0.724,65.0,9.0,3.0,0,3,0,0,0.265,97,81,29
Count/Balls-Strikes,After 2-0,24,70.0,53,4.0,12,1,0,0,,,16,16,1.0,0.226,0.414,0.245,0.66,13.0,2.0,1.0,0,0,0,0,0.324,88,36,11
Count/Balls-Strikes,After 3-0,15,20.0,10,0.0,2,0,0,0,,,10,1,0.1,0.2,0.6,0.2,0.8,2.0,0.0,0.0,0,0,0,0,0.222,137,21,2
Count/Balls-Strikes,After 0-1,26,302.0,282,37.0,63,15,0,10,,,6,75,12.5,0.223,0.259,0.383,0.642,108.0,3.0,9.0,0,4,0,3,0.264,70,111,38
Count/Balls-Strikes,After 1-1,26,220.0,191,15.0,39,7,1,6,,,21,54,2.57,0.204,0.296,0.346,0.641,66.0,3.0,5.0,0,3,0,0,0.246,73,94,25
Count/Balls-Strikes,After 2-1,26,120.0,94,3.0,14,1,0,0,,,22,37,1.68,0.149,0.325,0.16,0.485,15.0,2.0,3.0,0,1,0,0,0.241,40,24,13
Count/Balls-Strikes,After 3-1,22,50.0,29,1.0,7,1,0,0,,,21,8,0.38,0.241,0.56,0.276,0.836,8.0,0.0,0.0,0,0,0,0,0.333,141,58,6
Count/Balls-Strikes,After 0-2,26,129.0,125,11.0,20,4,0,3,,,1,43,43.0,0.16,0.164,0.264,0.428,33.0,1.0,0.0,0,2,0,3,0.21,13,86,13
Count/Balls-Strikes,After 1-2,26,170.0,159,17.0,30,4,1,5,,,6,56,9.33,0.189,0.219,0.321,0.54,51.0,2.0,1.0,0,3,0,1,0.248,43,116,20
Count/Balls-Strikes,After 2-2,26,142.0,121,11.0,21,2,1,3,,,14,53,3.79,0.174,0.277,0.281,0.558,34.0,1.0,4.0,0,2,0,1,0.269,52,92,15
Count/Balls-Strikes,Zero Balls,26,198.0,189,34.0,62,19,1,10,,,0,19,,0.328,0.347,0.598,0.945,113.0,3.0,6.0,2,1,0,3,0.323,147,160,32
Count/Balls-Strikes,Zero Strikes,26,146.0,136,27.0,53,16,2,8,,,3,0,0.0,0.39,0.41,0.713,1.123,97.0,7.0,3.0,2,2,0,1,0.346,193,130,27
Count/Balls-Strikes,Three Balls,26,115.0,75,5.0,14,1,0,1,,,38,30,0.79,0.187,0.461,0.24,0.701,18.0,0.0,1.0,0,1,0,0,0.289,102,46,12
Count/Balls-Strikes,Two Strikes,26,312.0,286,20.0,49,8,1,5,,,17,113,6.65,0.171,0.225,0.259,0.484,74.0,3.0,4.0,0,4,0,3,0.256,31,89,35
Count/Balls-Strikes,Batter Ahead,26,189.0,144,16.0,34,6,1,3,,,38,30,0.79,0.236,0.397,0.354,0.751,51.0,6.0,3.0,0,4,0,0,0.27,107,57,24
Count/Balls-Strikes,Even Count,26,213.0,204,30.0,61,15,2,12,,,0,31,,0.299,0.314,0.569,0.883,116.0,5.0,5.0,2,1,0,2,0.303,130,150,32
Count/Balls-Strikes,Pitcher Ahead,26,203.0,196,24.0,43,10,0,6,,,0,52,,0.219,0.237,0.362,0.599,71.0,3.0,5.0,0,2,0,2,0.264,58,130,27
Leading Off Inning,First Batter,26,26.0,22,0.0,7,2,0,0,,,3,3,1.0,0.318,0.423,0.409,0.832,9.0,0.0,1.0,0,0,0,0,0.368,128,143,5
Leading Off Inning,Leadoff Inn.,26,153.0,140,8.0,39,7,0,8,,,10,29,2.9,0.279,0.34,0.5,0.84,70.0,0.0,3.0,0,0,0,1,0.301,122,138,24
Opposition Defensive Position,vs. Non-P,26,605.0,544,70.0,138,31,3,21,18,4,38,113,2.97,0.254,0.314,0.438,0.752,238.0,14.0,13.0,2,7,0,4,0.281,100,110,83
Number of Outs in Inning,0 outs,26,237.0,214,31.0,66,13,0,13,7,0,13,42,3.23,0.308,0.362,0.551,0.913,118.0,5.0,6.0,2,2,0,1,0.329,141,150,40
Number of Outs in Inning,1 out,26,188.0,168,20.0,35,8,3,3,4,3,13,32,2.46,0.208,0.266,0.345,0.611,58.0,9.0,2.0,0,5,0,3,0.232,64,70,21
Number of Outs in Inning,2 outs,26,180.0,162,19.0,37,10,0,5,7,1,12,39,3.25,0.228,0.302,0.383,0.684,62.0,0.0,5.0,0,0,0,0,0.271,84,96,22
Bases Occupied,RISP,25,133.0,111,50.0,34,11,0,4,5,0,9,22,2.44,0.306,0.359,0.514,0.872,57.0,3.0,4.0,1,7,0,0,0.326,132,132,19
Bases Occupied,---,26,366.0,341,16.0,86,16,2,16,0,0,19,75,3.95,0.252,0.303,0.452,0.755,154.0,0.0,6.0,0,0,0,4,0.28,100,117,52
Bases Occupied,Men On,26,239.0,203,54.0,52,15,1,5,18,4,19,38,2.0,0.256,0.331,0.414,0.744,84.0,14.0,7.0,2,7,0,0,0.281,100,100,31
Bases Occupied,1--,25,106.0,92,4.0,18,4,1,1,13,4,10,16,1.6,0.196,0.295,0.294,0.589,27.0,11.0,3.0,1,0,0,0,0.227,61,62,12
Bases Occupied,-2-,23,67.0,58,22.0,21,6,0,2,1,0,7,13,1.86,0.362,0.439,0.569,1.008,33.0,0.0,1.0,0,0,0,0,0.442,170,174,13
Bases Occupied,--3,7,11.0,9,4.0,2,0,0,0,0,0,0,4,,0.222,0.182,0.222,0.404,2.0,0.0,0.0,0,2,0,0,0.286,9,5,2
Bases Occupied,12-,18,28.0,25,12.0,8,3,0,2,2,0,2,3,1.5,0.32,0.37,0.68,1.05,17.0,2.0,0.0,1,0,0,0,0.3,173,187,3
Bases Occupied,1-3,9,11.0,8,3.0,1,1,0,0,2,0,0,1,,0.125,0.182,0.25,0.432,2.0,1.0,1.0,0,2,0,0,0.111,15,6,0
Bases Occupied,-23,6,7.0,5,6.0,2,1,0,0,0,0,0,0,,0.4,0.429,0.6,1.029,3.0,0.0,1.0,0,1,0,0,0.333,174,157,1
Bases Occupied,123,6,9.0,6,3.0,0,0,0,0,0,0,0,1,,0.0,0.111,0.0,0.111,0.0,0.0,1.0,0,2,0,0,0.0,-65,-63,0
Bases Occupied,"on 1st,",24,100.0,86,20.0,20,6,1,3,1,1,6,14,2.33,0.233,0.286,0.43,0.716,37.0,14.0,2.0,2,4,0,0,0.233,89,87,10
Bases Occupied,"on 3rd,",12,21.0,14,13.0,4,2,0,0,0,0,0,4,,0.286,0.191,0.429,0.619,6.0,1.0,0.0,0,7,0,0,0.235,59,40,2
Bases Occupied,"on 3rd, 2 out",13,17.0,14,3.0,1,0,0,0,0,0,0,2,,0.071,0.235,0.071,0.307,1.0,0.0,3.0,0,0,0,0,0.083,-9,-9,1
Bases Occupied,"0 out, ---",26,166.0,153,10.0,47,7,0,10,0,0,10,30,3.0,0.307,0.361,0.549,0.91,84.0,0.0,3.0,0,0,0,1,0.327,140,157,30
Bases Occupied,"0 out, 1--",25,40.0,35,2.0,6,1,0,1,7,0,2,6,3.0,0.171,0.256,0.286,0.542,10.0,5.0,2.0,1,0,0,0,0.179,47,43,4
Bases Occupied,"0 out, -2-",14,17.0,15,6.0,6,2,0,0,0,0,1,5,5.0,0.4,0.471,0.533,1.004,8.0,0.0,1.0,0,0,0,0,0.6,172,174,4
Bases Occupied,"0 out, --3",1,1.0,0,1.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,,,0
Bases Occupied,"0 out, 12-",6,8.0,7,9.0,6,2,0,2,0,0,0,0,,0.857,0.857,2.0,2.857,14.0,0.0,0.0,1,0,0,0,0.8,630,636,2
Bases Occupied,"0 out, 1-3",1,1.0,1,0.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, -23",2,2.0,1,3.0,1,1,0,0,0,0,0,0,,1.0,0.5,2.0,2.5,2.0,0.0,0.0,0,1,0,0,0.5,516,439,0
Bases Occupied,"0 out, 123",2,2.0,2,0.0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",25,108.0,100,2.0,20,4,2,2,0,0,6,19,3.17,0.2,0.259,0.34,0.599,34.0,0.0,2.0,0,0,0,3,0.228,60,75,12
Bases Occupied,"1 out, 1--",22,34.0,30,2.0,6,1,1,0,3,3,4,5,1.25,0.2,0.294,0.3,0.594,9.0,6.0,0.0,0,0,0,0,0.24,62,63,4
Bases Occupied,"1 out, -2-",19,24.0,21,5.0,5,1,0,1,1,0,3,4,1.33,0.238,0.333,0.429,0.762,9.0,0.0,0.0,0,0,0,0,0.25,104,109,3
Bases Occupied,"1 out, --3",6,6.0,5,3.0,2,0,0,0,0,0,0,2,,0.4,0.333,0.4,0.733,2.0,0.0,0.0,0,1,0,0,0.5,97,69,2
Bases Occupied,"1 out, 12-",6,7.0,7,2.0,1,1,0,0,0,0,0,1,,0.143,0.143,0.286,0.429,2.0,2.0,0.0,0,0,0,0,0.167,11,16,0
Bases Occupied,"1 out, 1-3",5,6.0,4,3.0,1,1,0,0,0,0,0,1,,0.25,0.167,0.5,0.667,2.0,1.0,0.0,0,2,0,0,0.2,67,43,0
Bases Occupied,"1 out, -23",1,1.0,1,1.0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 123",2,2.0,0,2.0,0,0,0,0,0,0,0,0,,,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,,,0
Bases Occupied,"2 out, ---",24,92.0,88,4.0,19,5,0,4,0,0,3,26,8.67,0.216,0.25,0.409,0.659,36.0,0.0,1.0,0,0,0,0,0.259,73,93,10
Bases Occupied,"2 out, 1--",20,32.0,27,0.0,6,2,0,0,3,1,4,5,1.25,0.222,0.344,0.296,0.64,8.0,0.0,1.0,0,0,0,0,0.273,77,82,4
Bases Occupied,"2 out, -2-",18,26.0,22,11.0,10,3,0,1,0,0,3,4,1.33,0.455,0.52,0.727,1.247,16.0,0.0,0.0,0,0,0,0,0.529,232,234,6
Bases Occupied,"2 out, --3",4,4.0,4,0.0,0,0,0,0,0,0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, 12-",11,13.0,11,1.0,1,0,0,0,2,0,2,2,1.0,0.091,0.231,0.091,0.322,1.0,0.0,0.0,0,0,0,0,0.111,-6,-2,1
Bases Occupied,"2 out, 1-3",6,4.0,3,0.0,0,0,0,0,2,0,0,0,,0.0,0.25,0.0,0.25,0.0,0.0,1.0,0,0,0,0,0.0,-20,-22,0
Bases Occupied,"2 out, -23",3,4.0,3,2.0,1,0,0,0,0,0,0,0,,0.333,0.5,0.333,0.833,1.0,0.0,1.0,0,0,0,0,0.333,135,133,1
Bases Occupied,"2 out, 123",4,5.0,4,1.0,0,0,0,0,0,0,0,0,,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0,0,0,0,0.0,-36,-34,0
Clutch Stats,"2 outs, RISP",25,56.0,47,15.0,12,3,0,1,4,0,5,8,1.6,0.255,0.364,0.383,0.747,18.0,0.0,3.0,0,0,0,0,0.29,103,109,8
Clutch Stats,Late & Close,3,10.0,10,1.0,3,1,0,1,0,0,0,3,,0.3,0.3,0.7,1.0,7.0,0.0,0.0,0,0,0,0,0.333,155,186,1
Clutch Stats,Tie Game,25,227.0,199,23.0,47,10,2,5,9,3,14,48,3.43,0.236,0.305,0.382,0.687,76.0,5.0,8.0,0,5,0,1,0.278,84,93,30
Clutch Stats,Within 1 R,25,370.0,326,46.0,85,19,2,12,15,3,25,68,2.72,0.261,0.33,0.442,0.771,144.0,10.0,11.0,2,5,0,1,0.291,106,115,52
Clutch Stats,Within 2 R,25,457.0,407,53.0,103,23,3,14,17,3,29,82,2.83,0.253,0.315,0.428,0.743,174.0,11.0,11.0,2,7,0,3,0.28,98,107,63
Clutch Stats,Within 3 R,25,537.0,481,60.0,122,26,3,17,17,4,33,98,2.97,0.254,0.315,0.426,0.741,205.0,11.0,13.0,2,7,0,4,0.282,98,107,76
Clutch Stats,Within 4 R,25,568.0,512,65.0,131,30,3,19,17,4,33,107,3.24,0.256,0.313,0.438,0.751,224.0,12.0,13.0,2,7,0,4,0.285,100,110,79
Clutch Stats,Margin > 4 R,4,37.0,32,5.0,7,1,0,2,1,0,5,6,1.2,0.219,0.324,0.438,0.762,14.0,2.0,0.0,0,0,0,0,0.208,103,113,4
Clutch Stats,Ahead,16,186.0,169,15.0,35,4,0,8,6,0,13,37,2.85,0.207,0.27,0.373,0.643,63.0,7.0,2.0,1,1,0,2,0.216,71,86,23
