Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Platoon Splits,vs LH Starter,34,32,122,112,15,28,5,0,3,10,1,1,7,15,0.25,0.3,0.375,0.675,42,1,1,2,0,0,2,0.266,112,89,20
Home or Away,Home,57,42,166,152,18,36,12,0,4,25,1,0,8,15,0.237,0.273,0.395,0.667,60,2,1,1,4,0,2,0.234,108,83,20
Home or Away,Away,49,41,172,164,21,43,10,0,0,12,2,2,5,29,0.262,0.288,0.323,0.611,53,2,1,2,0,0,1,0.319,93,75,33
First or Second Half,1st Half,79,61,255,241,34,67,17,0,3,30,2,2,9,28,0.278,0.303,0.386,0.689,93,3,1,1,3,0,3,0.301,116,94,47
First or Second Half,2nd Half,27,22,83,75,5,12,5,0,1,7,1,0,4,16,0.16,0.21,0.267,0.477,20,1,1,2,1,0,0,0.186,49,32,6
Months,April/March,23,14,63,61,6,17,4,0,1,13,1,0,2,5,0.279,0.302,0.393,0.695,24,0,0,0,0,0,0,0.291,117,98,12
Months,May,21,16,64,59,9,21,4,0,1,7,1,1,2,4,0.356,0.375,0.475,0.85,28,1,1,0,2,0,1,0.357,166,145,16
Months,June,24,22,93,88,14,23,7,0,1,9,0,1,3,9,0.261,0.283,0.375,0.658,33,2,0,1,1,0,1,0.279,106,83,15
Months,July,19,14,54,51,7,9,4,0,1,4,0,0,2,16,0.177,0.208,0.314,0.521,16,0,0,1,0,0,1,0.235,62,41,4
Months,August,19,17,64,57,3,9,3,0,0,4,1,0,4,10,0.158,0.222,0.211,0.433,12,1,1,1,1,0,0,0.188,38,23,6
Game Outcome for Team,in Wins,59,46,193,179,25,42,11,0,2,26,1,2,7,23,0.235,0.266,0.33,0.595,59,4,2,1,4,0,2,0.253,87,44,29
Game Outcome for Team,in Losses,47,37,145,137,14,37,11,0,2,11,2,0,6,21,0.27,0.301,0.394,0.695,54,0,0,2,0,0,1,0.307,117,135,24
Starter or Substitute,as Starter,83,83,315,295,31,71,19,0,3,31,3,2,11,43,0.241,0.269,0.336,0.605,99,3,2,3,4,0,2,0.269,90,70,49
Starter or Substitute,as Sub,23,0,23,21,8,8,3,0,1,6,0,0,2,1,0.381,0.435,0.667,1.102,14,1,0,0,0,0,1,0.368,241,231,4
Defensive Positions,as 1B,13,,34,31,3,7,2,0,1,8,1,1,0,4,0.226,0.212,0.387,0.599,12,0,0,1,2,0,1,0.214,84,61,4
Defensive Positions,as 2B,14,,40,38,6,9,2,0,0,1,0,1,2,5,0.237,0.275,0.29,0.565,11,1,0,0,0,0,0,0.273,79,67,7
Defensive Positions,as 3B,5,,15,14,,3,2,0,0,3,0,0,1,1,0.214,0.267,0.357,0.624,5,0,0,0,0,0,0,0.231,95,76,1
Defensive Positions,as SS,3,,13,11,2,3,1,0,0,1,0,0,2,2,0.273,0.385,0.364,0.748,4,0,0,0,0,0,0,0.333,139,107,2
Defensive Positions,as LF,41,,126,119,17,29,7,0,1,8,0,0,5,19,0.244,0.28,0.328,0.608,39,2,1,1,0,0,2,0.283,91,72,21
Defensive Positions,as CF,17,,59,57,4,16,5,0,1,8,1,0,1,8,0.281,0.288,0.421,0.709,24,0,0,0,1,0,0,0.306,120,102,10
Defensive Positions,as RF,12,,41,37,2,8,2,0,0,3,1,0,1,4,0.216,0.25,0.27,0.52,10,0,1,1,1,0,0,0.235,64,44,6
Defensive Positions,as PH,10,,10,9,2,4,1,0,1,5,0,0,1,1,0.444,0.5,0.889,1.389,8,1,0,0,0,0,0,0.429,326,326,2
Defensive Positions,as PR,,,,,3,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,60,,78,73,,17,8,0,1,1,,,5,13,0.233,0.282,0.384,0.666,28,0,0,0,0,0,2,0.271,108,90,8
Batting Order Positions,Batting 1st,5,0,6,5,2,1,0,0,0,0,0,0,1,0,0.2,0.333,0.2,0.533,1,0,0,0,0,0,0,0.2,74,51,1
Batting Order Positions,Batting 2nd,2,1,9,8,1,1,0,0,0,1,0,1,1,1,0.125,0.222,0.125,0.347,1,0,0,0,0,0,1,0.143,14,-3,1
Batting Order Positions,Batting 3rd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 6th,13,9,37,35,5,7,1,0,2,6,0,0,0,4,0.2,0.194,0.4,0.594,14,0,0,1,1,0,0,0.167,81,69,4
Batting Order Positions,Batting 7th,26,22,89,83,9,20,5,0,1,8,0,0,4,10,0.241,0.276,0.337,0.613,28,1,0,2,0,0,0,0.264,92,78,14
Batting Order Positions,Batting 8th,26,23,91,83,11,21,10,0,0,10,1,0,6,13,0.253,0.308,0.374,0.681,31,2,1,0,1,0,1,0.296,114,107,11
Batting Order Positions,Batting 9th,32,28,106,102,11,29,6,0,1,12,2,1,1,16,0.284,0.293,0.373,0.665,38,1,1,0,2,0,1,0.322,108,113,22
Swung or Took First Pitch of PA,Swung at 1st Pitch,87,,157,146,,39,14,0,2,22,,,4,18,0.267,0.286,0.404,0.69,59,1,1,3,3,0,2,0.287,115,97,23
Swung or Took First Pitch of PA,Took 1st Pitch,88,,181,170,,40,8,0,2,15,,,9,26,0.235,0.276,0.318,0.594,54,3,1,0,1,0,1,0.266,87,66,30
Count/Balls-Strikes,First Pitch,51,,68,63,5,16,5,0,2,9,1,0,0,0,0.254,0.262,0.429,0.69,27,0,1,3,1,0,2,0.226,113,53,9
Count/Balls-Strikes,1-0 Count,24,,26,26,5,11,2,0,0,5,0,0,0,0,0.423,0.423,0.5,0.923,13,1,0,0,0,0,0,0.423,190,111,9
Count/Balls-Strikes,2-0 Count,7,,7,7,2,1,0,0,1,2,0,0,0,0,0.143,0.143,0.571,0.714,4,0,0,0,0,0,0,0.0,110,34,0
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,31,,38,37,5,14,3,0,1,6,1,0,0,0,0.378,0.368,0.541,0.909,20,0,0,0,1,0,0,0.351,182,117,10
Count/Balls-Strikes,1-1 Count,19,,19,18,4,4,1,0,0,5,0,0,0,0,0.222,0.211,0.278,0.488,5,1,0,0,1,0,0,0.211,53,18,3
Count/Balls-Strikes,2-1 Count,13,,13,13,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-1 Count,6,,6,4,2,0,0,0,0,0,0,0,2,0,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,19,-52,0
Count/Balls-Strikes,0-2 Count,37,,42,42,3,9,2,0,0,3,1,1,0,17,0.214,0.214,0.262,0.476,11,1,0,0,0,0,0,0.36,49,152,7
Count/Balls-Strikes,1-2 Count,45,,55,54,3,10,3,0,0,1,0,0,0,17,0.185,0.2,0.241,0.441,13,1,1,0,0,0,0,0.27,39,116,7
