Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,10,196.0,165,24.0,36,6,1,8,1,1,26,54,2.08,0.218,0.333,0.412,0.745,68.0,2.0,3.0,1,1,0,0,0.269,100,109,21
Season Totals,Last 7 days,2,37.0,28,1.0,4,0,0,0,0,0,7,10,1.43,0.143,0.324,0.143,0.467,4.0,1.0,1.0,0,1,0,0,0.211,32,44,4
Season Totals,Last 14 days,3,56.0,46,6.0,9,2,0,2,0,0,8,15,1.88,0.196,0.321,0.37,0.691,17.0,1.0,1.0,0,1,0,0,0.233,86,97,5
Season Totals,Last 28 days,5,90.0,74,13.0,17,2,1,4,1,1,14,24,1.71,0.23,0.356,0.446,0.802,33.0,1.0,1.0,0,1,0,0,0.277,115,121,10
Season Totals,Last 365 days,10,196.0,165,24.0,36,6,1,8,1,1,26,54,2.08,0.218,0.333,0.412,0.745,68.0,2.0,3.0,1,1,0,0,0.269,100,,21
Platoon Splits,vs RHB,10,82.0,72,12.0,18,3,0,6,0,1,8,20,2.5,0.25,0.333,0.542,0.875,39.0,1.0,1.0,1,0,0,0,0.261,132,144,9
Platoon Splits,vs LHB,10,114.0,93,10.0,18,3,1,2,1,0,18,34,1.89,0.194,0.333,0.312,0.645,29.0,1.0,2.0,0,1,0,0,0.276,76,82,12
Platoon Splits,vs RHB as RHP,10,82.0,72,12.0,18,3,0,6,0,1,8,20,2.5,0.25,0.333,0.542,0.875,39.0,1.0,1.0,1,0,0,0,0.261,132,150,9
Platoon Splits,vs LHB as RHP,10,114.0,93,10.0,18,3,1,2,1,0,18,34,1.89,0.194,0.333,0.312,0.645,29.0,1.0,2.0,0,1,0,0,0.276,76,79,12
Home or Away,Home,4,83.0,71,10.0,16,3,0,3,1,1,10,21,2.1,0.225,0.337,0.394,0.732,28.0,0.0,2.0,0,0,0,0,0.277,97,109,10
Home or Away,Away,6,113.0,94,14.0,20,3,1,5,0,0,16,33,2.06,0.213,0.33,0.426,0.756,40.0,2.0,1.0,1,1,0,0,0.263,103,109,11
First or Second Half,1st Half,4,84.0,71,9.0,17,4,0,3,0,0,10,18,1.8,0.239,0.349,0.423,0.772,30.0,1.0,2.0,1,0,0,0,0.28,108,118,10
First or Second Half,2nd Half,6,112.0,94,15.0,19,2,1,5,1,1,16,36,2.25,0.202,0.321,0.404,0.726,38.0,1.0,1.0,0,1,0,0,0.259,95,101,11
Months,June,1,22.0,19,3.0,6,0,0,1,0,0,3,5,1.67,0.316,0.409,0.474,0.883,9.0,0.0,0.0,0,0,0,0,0.385,138,147,5
Months,July,5,104.0,89,8.0,16,4,0,3,1,1,12,33,2.75,0.18,0.291,0.326,0.617,29.0,1.0,2.0,1,0,0,0,0.245,67,70,9
Months,August,4,70.0,57,13.0,14,2,1,4,0,0,11,16,1.45,0.246,0.371,0.526,0.898,30.0,1.0,1.0,0,1,0,0,0.263,139,147,7
