Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,105,450,396,54,93,14,2,9,47,25,2,43,72,0.235,0.309,0.349,0.657,138,7,3,0,8,1,3,0.26,100,86,68
Season Totals,Last 7 days,5,4,17,16,2,4,0,0,1,2,0,0,0,5,0.25,0.235,0.438,0.673,7,0,0,0,1,0,0,0.273,102,93,3
Season Totals,Last 14 days,11,10,41,38,4,8,2,0,1,2,2,0,2,7,0.211,0.244,0.342,0.586,13,0,0,0,1,0,0,0.226,77,65,5
Season Totals,Last 28 days,22,19,79,75,9,16,2,0,2,4,2,0,3,11,0.213,0.241,0.32,0.561,24,0,0,0,1,0,0,0.222,70,54,12
Season Totals,Last 365 days,149,135,581,516,68,119,19,2,12,58,32,3,50,95,0.231,0.3,0.345,0.645,178,7,5,1,9,1,4,0.256,96,,86
Platoon Splits,vs RHP,117,,345,306,41,72,11,2,8,38,17,1,30,50,0.235,0.301,0.363,0.664,111,6,2,0,7,1,3,0.251,102,88,51
Platoon Splits,vs LHP,64,,105,90,13,21,3,0,1,9,8,1,13,22,0.233,0.333,0.3,0.633,27,1,1,0,1,0,0,0.294,94,80,17
Platoon Splits,vs RHP as LHB,117,,345,306,,72,11,2,8,38,0,0,30,50,0.235,0.301,0.363,0.664,111,6,2,0,7,1,3,0.251,102,82,51
Platoon Splits,vs LHP as LHB,64,,105,90,,21,3,0,1,9,0,0,13,22,0.233,0.333,0.3,0.633,27,1,1,0,1,0,0,0.294,94,92,17
Platoon Splits,vs RH Starter,78,78,320,284,36,65,9,1,7,34,15,1,27,55,0.229,0.294,0.342,0.635,97,4,2,0,7,0,3,0.253,93,80,48
Platoon Splits,vs LH Starter,39,27,130,112,18,28,5,1,2,13,10,1,16,17,0.25,0.346,0.366,0.712,41,3,1,0,1,1,0,0.277,117,102,20
Home or Away,Home,62,54,230,202,27,53,6,0,5,25,14,2,22,38,0.262,0.335,0.366,0.701,74,3,2,0,4,1,1,0.295,114,96,42
Home or Away,Away,55,51,220,194,27,40,8,2,4,22,11,0,21,34,0.206,0.282,0.33,0.612,64,4,1,0,4,0,2,0.225,86,75,26
First or Second Half,1st Half,90,81,353,303,44,72,12,2,6,42,22,2,40,58,0.238,0.326,0.35,0.676,106,6,3,0,7,1,2,0.268,106,93,52
First or Second Half,2nd Half,27,24,97,93,10,21,2,0,3,5,3,0,3,14,0.226,0.247,0.344,0.592,32,1,0,0,1,0,1,0.234,79,62,16
Months,April/March,28,25,103,89,14,20,2,1,3,14,5,1,11,17,0.225,0.311,0.371,0.682,33,3,1,0,2,0,1,0.239,107,95,14
Months,May,25,23,103,83,17,22,3,1,2,16,9,0,15,11,0.265,0.379,0.398,0.776,33,2,2,0,3,0,0,0.274,137,126,16
Months,June,25,22,98,87,8,21,6,0,0,8,6,1,10,19,0.241,0.316,0.31,0.627,27,1,0,0,1,1,1,0.304,91,77,15
Months,July,22,19,82,76,9,20,1,0,2,5,3,0,5,15,0.263,0.305,0.355,0.66,27,1,0,0,1,0,1,0.3,101,81,17
Months,August,17,16,64,61,6,10,2,0,2,4,2,0,2,10,0.164,0.188,0.295,0.483,18,0,0,0,1,0,0,0.16,46,32,6
Game Outcome for Team,in Wins,67,64,274,238,41,59,7,2,7,31,17,1,28,42,0.248,0.329,0.382,0.711,91,3,3,0,5,1,2,0.268,116,73,43
Game Outcome for Team,in Losses,50,41,176,158,13,34,7,0,2,16,8,1,15,30,0.215,0.278,0.298,0.576,47,4,0,0,3,0,1,0.248,75,96,25
Starter or Substitute,as Starter,105,105,434,382,53,90,14,2,9,45,23,2,41,70,0.236,0.309,0.353,0.662,135,7,3,0,8,1,3,0.261,101,87,65
Starter or Substitute,as Sub,12,0,16,14,1,3,0,0,0,2,2,0,2,2,0.214,0.313,0.214,0.527,3,0,0,0,0,0,0,0.25,63,63,3
Defensive Positions,as 2B,100,,400,358,48,85,12,2,9,36,19,2,33,65,0.237,0.303,0.358,0.66,128,7,3,0,6,1,3,0.262,101,95,62
Defensive Positions,as SS,10,,33,24,3,6,2,0,0,10,5,0,7,4,0.25,0.394,0.333,0.727,8,0,0,0,2,0,0,0.273,123,102,4
Defensive Positions,as DH,1,,5,4,2,1,0,0,0,1,1,0,1,1,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.333,101,82,1
Defensive Positions,as PH,12,,12,10,1,1,0,0,0,0,0,0,2,2,0.1,0.25,0.1,0.35,1,0,0,0,0,0,0,0.125,10,14,1
Leading Off Inning,1st Batter G,9,,9,8,,0,0,0,0,0,,,1,3,0.0,0.111,0.0,0.111,0,0,0,0,0,0,0,0.0,-64,-64,0
Leading Off Inning,Leadoff Inn.,79,,113,103,,20,2,0,3,3,,,9,23,0.194,0.266,0.301,0.567,31,0,1,0,0,1,0,0.221,72,63,15
Batting Order Positions,Batting 1st,9,9,40,35,5,8,1,0,0,3,1,1,4,5,0.229,0.3,0.257,0.557,9,1,0,0,1,0,0,0.258,71,55,7
Batting Order Positions,Batting 2nd,4,4,19,16,3,4,1,0,0,2,2,0,3,2,0.25,0.368,0.313,0.681,5,0,0,0,0,0,0,0.286,109,85,3
Batting Order Positions,Batting 3rd,1,1,5,2,0,1,0,0,0,1,0,0,3,0,0.5,0.8,0.5,1.3,1,0,0,0,0,0,0,0.5,303,251,1
Batting Order Positions,Batting 4th,2,2,8,8,0,2,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,2,0,0,0,0,0,0,0.333,53,38,2
Batting Order Positions,Batting 5th,32,32,134,117,12,24,7,0,4,11,6,0,12,22,0.205,0.276,0.368,0.644,43,2,1,0,4,1,2,0.211,95,78,13
Batting Order Positions,Batting 6th,22,18,80,72,13,18,1,1,0,6,7,0,6,14,0.25,0.313,0.292,0.604,21,3,1,0,1,0,0,0.305,85,79,16
Batting Order Positions,Batting 7th,20,16,69,55,7,15,3,0,0,10,4,1,12,11,0.273,0.391,0.327,0.719,18,1,0,0,2,0,0,0.326,121,113,12
Batting Order Positions,Batting 8th,26,23,92,89,13,20,1,1,5,11,3,0,2,16,0.225,0.25,0.427,0.677,38,0,1,0,0,0,1,0.221,104,102,13
Batting Order Positions,Batting 9th,1,0,3,2,1,1,0,0,0,2,2,0,1,0,0.5,0.667,0.5,1.167,1,0,0,0,0,0,0,0.5,260,283,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,72,,90,81,,23,5,0,1,11,,,4,12,0.284,0.3,0.383,0.683,31,1,0,0,5,0,0,0.301,107,97,17
Swung or Took First Pitch of PA,Took 1st Pitch,113,,360,315,,70,9,2,8,36,,,39,60,0.222,0.311,0.34,0.651,107,6,3,0,3,1,3,0.248,98,83,51
Count/Balls-Strikes,First Pitch,37,,39,37,6,12,4,0,0,2,4,0,0,0,0.324,0.333,0.432,0.766,16,1,1,0,1,0,0,0.316,132,75,8
Count/Balls-Strikes,1-0 Count,16,,16,15,5,4,0,0,2,6,2,1,0,0,0.267,0.25,0.667,0.917,10,0,0,0,1,0,0,0.143,173,89,2
Count/Balls-Strikes,2-0 Count,3,,3,3,2,2,0,0,0,1,1,0,0,0,0.667,0.667,0.667,1.333,2,0,0,0,0,0,0,0.667,308,201,2
Count/Balls-Strikes,3-0 Count,8,,8,0,,0,0,0,0,0,0,0,8,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,41,,53,51,7,16,3,0,0,7,4,0,0,0,0.314,0.302,0.373,0.674,19,2,0,0,2,0,0,0.302,105,64,13
Count/Balls-Strikes,1-1 Count,30,,34,33,7,9,2,0,1,2,1,0,0,0,0.273,0.294,0.424,0.718,14,1,1,0,0,0,0,0.25,117,71,6
Count/Balls-Strikes,2-1 Count,23,,25,25,6,5,1,0,2,3,2,0,0,0,0.2,0.2,0.48,0.68,12,1,0,0,0,0,0,0.13,103,41,2
Count/Balls-Strikes,3-1 Count,21,,24,11,2,4,1,0,1,4,1,0,13,0,0.364,0.708,0.727,1.436,8,0,0,0,0,0,0,0.3,338,116,2
Count/Balls-Strikes,0-2 Count,43,,52,50,3,9,2,0,1,6,3,0,0,16,0.18,0.173,0.28,0.453,14,0,0,0,2,0,1,0.229,36,135,6
Count/Balls-Strikes,1-2 Count,46,,55,54,6,11,0,1,0,4,7,1,0,19,0.204,0.2,0.241,0.441,13,1,0,0,1,0,1,0.306,34,116,10
Count/Balls-Strikes,2-2 Count,64,,84,84,6,13,1,1,1,7,0,0,0,28,0.155,0.155,0.226,0.381,19,1,0,0,0,0,1,0.218,15,71,10
Count/Balls-Strikes,Full Count,48,,57,33,4,8,0,0,1,5,0,0,22,9,0.242,0.544,0.333,0.877,11,0,1,0,1,0,0,0.292,172,120,7
Count/Balls-Strikes,After 1-0,94,,165,133,,33,2,1,6,23,,,28,25,0.248,0.382,0.414,0.795,55,3,2,0,2,1,0,0.26,143,99,24
