Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,31,16,73,66,11,17,5,0,3,16,0,0,6,9,0.258,0.315,0.47,0.785,31,3,0,0,1,0,0,0.255,100,118,9
Season Totals,Last 7 days,2,1,5,3,1,0,0,0,0,0,0,0,2,0,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,27,31,0
Season Totals,Last 14 days,2,1,5,3,1,0,0,0,0,0,0,0,2,0,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,27,27,0
Season Totals,Last 28 days,4,2,12,10,2,2,0,0,0,2,0,0,2,0,0.2,0.333,0.2,0.533,2,1,0,0,0,0,0,0.2,48,53,2
Season Totals,Last 365 days,39,18,84,73,11,18,5,0,3,16,0,0,9,11,0.247,0.333,0.438,0.772,32,4,1,0,1,0,0,0.25,99,,10
Platoon Splits,vs RHP,28,,64,57,9,15,4,0,2,9,0,0,6,9,0.263,0.328,0.439,0.767,25,2,0,0,1,0,0,0.277,98,115,9
Platoon Splits,vs LHP,4,,9,9,2,2,1,0,1,7,0,0,0,0,0.222,0.222,0.667,0.889,6,1,0,0,0,0,0,0.125,112,136,0
Platoon Splits,vs RHP as LHB,28,,64,57,,15,4,0,2,9,0,0,6,9,0.263,0.328,0.439,0.767,25,2,0,0,1,0,0,0.277,98,108,9
Platoon Splits,vs LHP as LHB,4,,9,9,,2,1,0,1,7,0,0,0,0,0.222,0.222,0.667,0.889,6,1,0,0,0,0,0,0.125,112,154,0
Platoon Splits,vs RH Starter,22,14,54,47,6,11,3,0,1,5,0,0,6,8,0.234,0.315,0.362,0.677,17,2,0,0,1,0,0,0.256,77,92,7
Platoon Splits,vs LH Starter,9,2,19,19,5,6,2,0,2,11,0,0,0,1,0.316,0.316,0.737,1.053,14,1,0,0,0,0,0,0.25,157,185,2
Home or Away,Home,14,7,34,32,4,11,1,0,2,7,0,0,1,4,0.344,0.353,0.563,0.915,18,2,0,0,1,0,0,0.333,132,150,8
Home or Away,Away,17,9,39,34,7,6,4,0,1,9,0,0,5,5,0.177,0.282,0.382,0.665,13,1,0,0,0,0,0,0.179,71,88,1
First or Second Half,1st Half,27,14,61,56,9,15,5,0,3,14,0,0,4,9,0.268,0.312,0.518,0.829,29,2,0,0,1,0,0,0.267,109,130,7
First or Second Half,2nd Half,4,2,12,10,2,2,0,0,0,2,0,0,2,0,0.2,0.333,0.2,0.533,2,1,0,0,0,0,0,0.2,48,55,2
Months,April/March,7,4,17,16,4,4,1,0,1,7,0,0,1,1,0.25,0.294,0.5,0.794,8,0,0,0,0,0,0,0.214,100,124,2
Months,May,15,8,32,30,3,7,4,0,0,4,0,0,1,5,0.233,0.25,0.367,0.617,11,2,0,0,1,0,0,0.269,58,76,3
Months,June,5,2,12,10,2,4,0,0,2,3,0,0,2,3,0.4,0.5,1.0,1.5,10,0,0,0,0,0,0,0.4,272,305,2
Months,July,2,1,7,7,1,2,0,0,0,2,0,0,0,0,0.286,0.286,0.286,0.571,2,1,0,0,0,0,0,0.286,52,59,2
Months,August,2,1,5,3,1,0,0,0,0,0,0,0,2,0,0.0,0.4,0.0,0.4,0,0,0,0,0,0,0,0.0,27,28,0
Game Outcome for Team,in Wins,16,9,42,37,8,10,3,0,2,14,0,0,4,0,0.27,0.333,0.514,0.847,19,3,0,0,1,0,0,0.222,115,101,5
Game Outcome for Team,in Losses,15,7,31,29,3,7,2,0,1,2,0,0,2,9,0.241,0.29,0.414,0.704,12,0,0,0,0,0,0,0.316,80,138,4
Starter or Substitute,as Starter,16,16,57,51,8,12,4,0,2,12,0,0,5,4,0.235,0.298,0.431,0.73,22,3,0,0,1,0,0,0.217,86,102,6
Starter or Substitute,as Sub,15,0,16,15,3,5,1,0,1,4,0,0,1,5,0.333,0.375,0.6,0.975,9,0,0,0,0,0,0,0.444,147,195,3
Defensive Positions,as 1B,7,,21,18,3,5,0,0,1,3,0,0,3,2,0.278,0.381,0.444,0.825,8,1,0,0,0,0,0,0.267,115,127,4
Defensive Positions,as RF,12,,37,34,4,7,3,0,0,4,0,0,2,3,0.206,0.243,0.294,0.537,10,2,0,0,1,0,0,0.219,40,48,4
Defensive Positions,as DH,2,,6,6,2,2,1,0,1,6,0,0,0,1,0.333,0.333,1.0,1.333,6,0,0,0,0,0,0,0.25,219,238,0
Defensive Positions,as PH,10,,10,9,2,3,1,0,1,3,0,0,1,4,0.333,0.4,0.778,1.178,7,0,0,0,0,0,0,0.5,193,263,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,1st Batter G,2,,2,2,,1,0,0,0,0,,,0,1,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,1.0,165,186,1
Leading Off Inning,Leadoff Inn.,14,,16,15,,4,0,0,1,1,,,1,3,0.267,0.313,0.467,0.779,7,0,0,0,0,0,0,0.273,99,121,3
Batting Order Positions,Batting 1st,3,2,10,9,2,3,0,0,0,1,0,0,1,1,0.333,0.4,0.333,0.733,3,0,0,0,0,0,0,0.375,98,104,3
Batting Order Positions,Batting 2nd,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,643,666,0
Batting Order Positions,Batting 3rd,3,1,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,1,1,0,0,0,0,0,0.25,-12,-13,1
