Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,98,401,357,35,82,18,0,11,36,0,1,31,93,0.23,0.312,0.373,0.684,133,11,12,0,1,0,4,0.28,100,93,53
Season Totals,Last 7 days,5,4,16,14,2,5,2,0,0,2,0,0,2,3,0.357,0.438,0.5,0.938,7,0,0,0,0,0,0,0.455,174,172,3
Season Totals,Last 14 days,12,10,39,35,4,10,3,0,1,3,0,0,3,7,0.286,0.359,0.457,0.816,16,0,1,0,0,0,1,0.333,138,126,6
Season Totals,Last 28 days,18,15,61,57,7,15,4,0,3,5,0,0,3,10,0.263,0.312,0.491,0.803,28,0,1,0,0,0,2,0.273,131,116,8
Season Totals,Last 365 days,143,135,550,485,48,112,21,0,13,44,0,1,41,118,0.231,0.32,0.355,0.675,172,15,23,0,1,0,6,0.279,98,,78
Platoon Splits,vs RHP,98,,296,268,22,60,14,0,8,28,0,0,18,71,0.224,0.294,0.366,0.66,98,10,9,0,1,0,2,0.274,92,86,38
Platoon Splits,vs LHP,54,,105,89,13,22,4,0,3,8,0,1,13,22,0.247,0.362,0.393,0.755,35,1,3,0,0,0,2,0.297,121,112,15
Platoon Splits,vs RHP as RHB,98,,296,268,,60,14,0,8,28,0,0,18,71,0.224,0.294,0.366,0.66,98,10,9,0,1,0,2,0.274,92,91,38
Platoon Splits,vs LHP as RHB,54,,105,89,,22,4,0,3,8,0,0,13,22,0.247,0.362,0.393,0.755,35,1,3,0,0,0,2,0.297,121,108,15
Platoon Splits,vs RH Starter,80,72,297,268,25,65,14,0,9,27,0,0,18,64,0.243,0.313,0.396,0.709,106,11,10,0,1,0,2,0.286,107,99,42
Platoon Splits,vs LH Starter,26,26,104,89,10,17,4,0,2,9,0,1,13,29,0.191,0.308,0.303,0.611,27,0,2,0,0,0,2,0.259,80,73,11
Home or Away,Home,53,48,189,171,15,39,5,0,5,15,0,0,15,41,0.228,0.296,0.345,0.641,59,7,2,0,1,0,3,0.27,87,78,29
Home or Away,Away,53,50,212,186,20,43,13,0,6,21,0,1,16,52,0.231,0.326,0.398,0.723,74,4,10,0,0,0,1,0.289,111,106,24
First or Second Half,1st Half,85,81,334,294,28,67,14,0,8,31,0,1,28,81,0.228,0.317,0.357,0.675,105,10,11,0,1,0,2,0.286,97,92,45
First or Second Half,2nd Half,21,17,67,63,7,15,4,0,3,5,0,0,3,12,0.238,0.284,0.444,0.728,28,1,1,0,0,0,2,0.25,110,98,8
Months,April/March,27,26,104,95,9,23,4,0,2,8,0,0,8,23,0.242,0.298,0.347,0.646,33,5,0,0,1,0,0,0.296,89,85,17
Months,May,28,27,108,97,9,27,4,0,5,16,0,1,7,28,0.278,0.352,0.474,0.826,46,1,4,0,0,0,1,0.344,140,137,18
Months,June,18,18,73,58,7,8,3,0,1,5,0,0,10,19,0.138,0.315,0.241,0.557,14,3,5,0,0,0,1,0.184,66,60,4
Months,July,16,12,56,51,3,9,3,0,0,2,0,0,3,13,0.177,0.25,0.235,0.485,12,2,2,0,0,0,0,0.237,43,35,6
Months,August,17,15,60,56,7,15,4,0,3,5,0,0,3,10,0.268,0.317,0.5,0.817,28,0,1,0,0,0,2,0.279,136,123,8
Game Outcome for Team,in Wins,53,50,207,184,28,51,12,0,10,33,0,0,17,41,0.277,0.353,0.505,0.858,93,6,5,0,1,0,3,0.306,149,105,29
Game Outcome for Team,in Losses,53,48,194,173,7,31,6,0,1,3,0,1,14,52,0.179,0.268,0.231,0.499,40,5,7,0,0,0,1,0.25,48,72,24
Starter or Substitute,as Starter,98,98,389,347,35,82,18,0,11,36,0,1,29,91,0.236,0.316,0.383,0.7,133,10,12,0,1,0,4,0.289,104,96,53
Starter or Substitute,as Sub,8,0,12,10,0,0,0,0,0,0,0,0,2,2,0.0,0.167,0.0,0.167,0,1,0,0,0,0,0,0.0,-47,-45,0
Defensive Positions,as 1B,99,,384,344,33,78,18,0,10,35,0,1,28,90,0.227,0.305,0.366,0.671,126,11,11,0,1,0,3,0.278,96,85,50
Defensive Positions,as DH,4,,13,11,2,4,0,0,1,1,0,0,1,2,0.364,0.462,0.636,1.098,7,0,1,0,0,0,1,0.375,219,192,3
Defensive Positions,as PH,4,,4,2,,0,0,0,0,0,0,0,2,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,60,70,0
Leading Off Inning,Leadoff Inn.,71,,108,93,,20,3,0,3,3,,,11,24,0.215,0.324,0.344,0.668,32,0,4,0,0,0,2,0.258,96,93,14
Batting Order Positions,Batting 2nd,1,1,4,2,0,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,60,52,0
Batting Order Positions,Batting 3rd,6,5,23,22,1,5,1,0,0,2,0,0,0,8,0.227,0.261,0.273,0.534,6,1,1,0,0,0,0,0.357,57,39,4
Batting Order Positions,Batting 4th,15,12,54,49,5,7,4,0,1,5,0,0,4,12,0.143,0.222,0.286,0.508,14,2,1,0,0,0,1,0.167,48,38,2
Batting Order Positions,Batting 5th,23,23,97,82,7,19,3,0,1,4,0,0,10,23,0.232,0.34,0.305,0.645,25,3,4,0,1,0,1,0.305,91,83,15
Batting Order Positions,Batting 6th,32,31,122,109,13,22,3,0,4,10,0,1,10,33,0.202,0.287,0.339,0.626,37,4,3,0,0,0,1,0.25,83,83,15
Batting Order Positions,Batting 7th,18,17,64,61,7,21,5,0,3,8,0,0,3,9,0.344,0.375,0.574,0.949,35,1,0,0,0,0,1,0.367,174,173,13
Batting Order Positions,Batting 8th,10,8,35,30,2,8,2,0,2,7,0,0,2,7,0.267,0.371,0.533,0.905,16,0,3,0,0,0,0,0.286,162,172,4
Batting Order Positions,Batting 9th,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,84,,140,132,,37,11,0,4,18,,,4,27,0.28,0.321,0.455,0.776,60,2,4,0,0,0,3,0.327,125,121,22
Swung or Took First Pitch of PA,Took 1st Pitch,100,,261,225,,45,7,0,7,18,,,27,66,0.2,0.307,0.324,0.631,73,9,8,0,1,0,1,0.248,85,77,31
Count/Balls-Strikes,First Pitch,46,,59,54,5,18,6,0,1,7,0,0,0,0,0.333,0.39,0.5,0.89,27,1,5,0,0,0,2,0.321,159,103,11
Count/Balls-Strikes,1-0 Count,27,,30,30,4,7,1,0,1,2,0,0,0,0,0.233,0.233,0.367,0.6,11,0,0,0,0,0,0,0.207,73,32,5
Count/Balls-Strikes,2-0 Count,10,,10,10,3,5,0,0,3,7,0,0,0,0,0.5,0.5,1.4,1.9,14,0,0,0,0,0,0,0.286,436,271,2
Count/Balls-Strikes,3-0 Count,3,,3,0,1,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,30,,32,28,3,7,3,0,0,4,0,0,0,0,0.25,0.313,0.357,0.67,10,1,3,0,1,0,0,0.241,96,64,4
Count/Balls-Strikes,1-1 Count,28,,31,30,3,10,0,0,1,3,0,0,0,0,0.333,0.355,0.433,0.788,13,2,1,0,0,0,0,0.31,130,92,9
Count/Balls-Strikes,2-1 Count,12,,12,10,,3,3,0,0,2,0,0,0,0,0.3,0.417,0.6,1.017,6,1,2,0,0,0,0,0.3,195,124,0
Count/Balls-Strikes,3-1 Count,15,,16,7,1,0,0,0,0,0,0,0,9,0,0.0,0.563,0.0,0.563,0,1,0,0,0,0,0,0.0,80,-19,0
Count/Balls-Strikes,0-2 Count,26,,28,28,1,3,0,0,0,1,0,0,0,17,0.107,0.107,0.107,0.214,3,0,0,0,0,0,1,0.273,-37,15,3
Count/Balls-Strikes,1-2 Count,43,,56,55,2,5,0,0,0,0,0,1,0,33,0.091,0.107,0.091,0.198,5,1,1,0,0,0,1,0.227,-41,0,5
Count/Balls-Strikes,2-2 Count,43,,54,54,5,12,3,0,2,4,0,0,0,22,0.222,0.222,0.389,0.611,21,3,0,0,0,0,0,0.333,75,168,7
Count/Balls-Strikes,Full Count,54,,70,51,7,12,2,0,3,6,0,0,19,21,0.235,0.443,0.451,0.894,23,1,0,0,0,0,0,0.333,163,133,7
Count/Balls-Strikes,After 1-0,83,,144,122,,31,4,0,5,13,,,21,24,0.254,0.368,0.41,0.778,50,6,1,0,0,0,0,0.28,128,94,22
Count/Balls-Strikes,After 2-0,39,,42,28,,7,0,0,4,8,,,13,7,0.25,0.5,0.679,1.179,19,2,1,0,0,0,0,0.177,242,147,3
Count/Balls-Strikes,After 3-0,13,,13,5,,0,0,0,0,0,,,8,0,0.0,0.615,0.0,0.615,0,1,0,0,0,0,0,0.0,97,-16,0
Count/Balls-Strikes,After 0-1,93,,197,180,,33,8,0,5,16,,,10,69,0.183,0.249,0.311,0.56,56,4,6,0,1,0,2,0.262,63,86,20
Count/Balls-Strikes,After 1-1,89,,152,135,,32,6,0,3,8,,,15,39,0.237,0.322,0.348,0.671,47,5,2,0,0,0,1,0.312,97,103,23
Count/Balls-Strikes,After 2-1,50,,66,53,,11,4,0,2,5,,,11,17,0.208,0.364,0.396,0.76,21,3,2,0,0,0,0,0.265,123,93,5
Count/Balls-Strikes,After 3-1,26,,30,18,,2,0,0,1,2,,,12,4,0.111,0.467,0.278,0.745,5,2,0,0,0,0,0,0.077,124,43,1
Count/Balls-Strikes,After 0-2,64,,85,81,,11,2,0,2,7,,,3,47,0.136,0.177,0.235,0.411,19,2,1,0,0,0,1,0.281,19,81,7
Count/Balls-Strikes,After 1-2,84,,132,119,,21,4,0,3,7,,,12,59,0.177,0.258,0.286,0.543,34,3,1,0,0,0,1,0.316,59,120,14
Count/Balls-Strikes,After 2-2,73,,110,94,,22,5,0,4,8,,,16,39,0.234,0.346,0.415,0.76,39,3,0,0,0,0,0,0.353,122,161,13
Count/Balls-Strikes,Zero Balls,77,,119,110,9,28,9,0,1,12,0,0,0,17,0.255,0.303,0.364,0.666,40,2,8,0,1,0,3,0.29,95,91,18
Count/Balls-Strikes,Zero Strikes,72,,102,94,13,30,7,0,5,16,0,0,3,0,0.319,0.373,0.553,0.926,52,1,5,0,0,0,2,0.281,168,93,18
Count/Balls-Strikes,Three Balls,64,,89,58,9,12,2,0,3,6,0,0,31,21,0.207,0.483,0.397,0.88,23,2,0,0,0,0,0,0.265,161,90,7
Count/Balls-Strikes,Two Strikes,98,,208,188,15,32,5,0,5,11,0,1,19,93,0.17,0.25,0.277,0.527,52,5,1,0,0,0,2,0.3,54,106,22
Count/Balls-Strikes,Batter Ahead,81,,141,108,16,27,6,0,7,17,0,0,31,21,0.25,0.426,0.5,0.926,54,3,2,0,0,0,0,0.25,171,93,14
Count/Balls-Strikes,Even Count,81,,144,138,13,40,9,0,4,14,0,0,0,22,0.29,0.319,0.442,0.761,61,6,6,0,0,0,2,0.321,121,122,27
Count/Balls-Strikes,Pitcher Ahead,70,,116,111,6,15,3,0,0,5,0,1,0,50,0.135,0.164,0.162,0.326,18,2,4,0,1,0,2,0.242,-4,31,12
Number of Outs in Inning,0 outs,86,,149,129,12,30,5,0,5,9,0,0,14,31,0.233,0.329,0.388,0.717,50,5,5,0,1,0,2,0.266,110,100,20
Number of Outs in Inning,1 out,79,,127,111,13,22,6,0,4,15,0,1,12,30,0.198,0.299,0.36,0.66,40,6,4,0,0,0,0,0.234,92,84,12
Number of Outs in Inning,2 outs,82,,125,117,10,30,7,0,2,12,0,0,5,32,0.256,0.304,0.368,0.672,43,0,3,0,0,0,2,0.337,96,92,21
Bases Occupied,RISP,57,,73,60,23,18,7,0,1,21,0,1,8,14,0.3,0.411,0.467,0.878,28,1,4,0,1,0,1,0.37,157,136,10
Bases Occupied,---,102,,247,221,6,48,9,0,6,6,0,0,20,58,0.217,0.3,0.339,0.639,75,0,6,0,0,0,3,0.268,87,87,33
Bases Occupied,Men On,89,,154,136,29,34,9,0,5,30,0,1,11,35,0.25,0.331,0.427,0.758,58,11,6,0,1,0,1,0.299,120,103,20
Bases Occupied,1--,60,,81,76,6,16,2,0,4,9,0,0,3,21,0.211,0.259,0.395,0.654,30,10,2,0,0,0,0,0.235,89,74,10
Bases Occupied,-2-,20,,21,16,6,6,1,0,1,4,0,0,5,3,0.375,0.524,0.625,1.149,10,0,0,0,0,0,0,0.417,236,214,4
Bases Occupied,--3,3,,3,2,,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,,7,-3,0
Bases Occupied,12-,23,,24,22,3,5,3,0,0,5,0,1,1,6,0.227,0.292,0.364,0.655,8,0,1,0,0,0,1,0.313,91,84,2
Bases Occupied,1-3,10,,10,7,5,4,0,0,0,4,0,0,1,0,0.571,0.7,0.571,1.271,4,0,2,0,0,0,0,0.571,277,227,4
Bases Occupied,-23,9,,9,7,4,3,3,0,0,7,0,0,0,1,0.429,0.444,0.857,1.302,6,0,1,0,1,0,0,0.429,272,217,0
Bases Occupied,123,6,,6,6,5,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"on 1st,",55,,75,67,12,15,3,0,3,10,0,1,4,17,0.224,0.307,0.403,0.71,27,11,4,0,0,0,0,0.255,106,88,9
Bases Occupied,"on 3rd,",14,,16,11,9,3,3,0,0,8,0,0,2,4,0.273,0.438,0.546,0.983,6,1,2,0,1,0,0,0.375,187,134,0
Bases Occupied,"on 3rd, 2 out",12,,12,11,5,4,0,0,0,4,0,0,0,1,0.364,0.417,0.364,0.78,4,0,1,0,0,0,0,0.4,131,122,4
Bases Occupied,"0 out, ---",74,,113,98,3,23,3,0,3,3,0,0,11,24,0.235,0.336,0.357,0.693,35,0,4,0,0,0,2,0.282,103,101,17
Bases Occupied,"0 out, 1--",23,,25,24,2,6,2,0,2,5,0,0,1,5,0.25,0.28,0.583,0.863,14,5,0,0,0,0,0,0.235,146,118,2
Bases Occupied,"0 out, -2-",4,,4,2,1,1,0,0,0,0,0,0,2,0,0.5,0.75,0.5,1.25,1,0,0,0,0,0,0,0.5,274,247,1
Bases Occupied,"0 out, 12-",2,,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",2,,2,1,3,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0.0,60,43,0
Bases Occupied,"0 out, -23",1,,1,0,,0,0,0,0,1,0,0,0,0,,0.0,,,0,0,0,0,1,0,0,0.0,,,0
Bases Occupied,"0 out, 123",2,,2,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",55,,70,63,3,9,1,0,3,3,0,0,6,17,0.143,0.229,0.302,0.53,19,0,1,0,0,0,0,0.14,54,54,5
Bases Occupied,"1 out, 1--",32,,33,29,2,6,0,0,1,2,0,0,2,9,0.207,0.303,0.31,0.613,9,5,2,0,0,0,0,0.263,80,69,5
Bases Occupied,"1 out, -2-",8,,7,5,4,1,1,0,0,1,0,0,2,1,0.2,0.429,0.4,0.829,2,0,0,0,0,0,0,0.25,145,132,0
Bases Occupied,"1 out, --3",2,,2,1,,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,60,36,0
Bases Occupied,"1 out, 12-",6,,6,6,0,3,1,0,0,2,0,1,0,0,0.5,0.5,0.667,1.167,4,0,0,0,0,0,0,0.5,239,223,2
Bases Occupied,"1 out, 1-3",2,,2,0,2,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,1,0,0,0,0,,,,0
Bases Occupied,"1 out, -23",4,,4,4,2,3,3,0,0,6,0,0,0,1,0.75,0.75,1.5,2.25,6,0,0,0,0,0,0,1.0,543,401,0
Bases Occupied,"1 out, 123",3,,3,3,,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, ---",55,,64,60,,16,5,0,0,0,0,0,3,17,0.267,0.313,0.35,0.663,21,0,1,0,0,0,1,0.372,94,98,11
Bases Occupied,"2 out, 1--",25,,23,23,2,4,0,0,1,2,0,0,0,7,0.174,0.174,0.304,0.478,7,0,0,0,0,0,0,0.2,37,30,3
Bases Occupied,"2 out, -2-",9,,10,9,1,4,0,0,1,3,0,0,1,2,0.444,0.5,0.778,1.278,7,0,0,0,0,0,0,0.5,269,243,3
Bases Occupied,"2 out, --3",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"2 out, 12-",15,,16,14,2,2,2,0,0,3,0,0,1,5,0.143,0.25,0.286,0.536,4,0,1,0,0,0,1,0.222,57,54,0
Bases Occupied,"2 out, 1-3",7,,6,6,,4,0,0,0,4,0,0,0,0,0.667,0.667,0.667,1.333,4,0,0,0,0,0,0,0.667,293,266,4
Bases Occupied,"2 out, -23",4,,4,3,2,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0,0,1,0,0,0,0,0.0,-20,-27,0
Bases Occupied,"2 out, 123",1,,1,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Clutch Stats,"2 outs, RISP",33,,38,34,8,10,2,0,1,10,0,0,2,8,0.294,0.368,0.441,0.81,15,0,2,0,0,0,1,0.36,136,125,7
Clutch Stats,Late & Close,48,,62,55,5,12,3,0,2,6,0,0,4,12,0.218,0.307,0.382,0.688,21,1,3,0,0,0,1,0.244,101,102,7
Clutch Stats,Tie Game,63,,92,82,5,18,2,0,2,8,0,0,7,24,0.22,0.304,0.317,0.621,26,2,3,0,0,0,1,0.286,82,76,14
Clutch Stats,Within 1 R,86,,190,169,14,37,8,0,5,22,0,0,14,49,0.219,0.305,0.355,0.66,60,4,7,0,0,0,3,0.278,93,85,24
Clutch Stats,Within 2 R,97,,261,229,24,53,12,0,9,30,0,1,22,63,0.231,0.326,0.402,0.727,92,5,10,0,0,0,3,0.28,112,104,32
Clutch Stats,Within 3 R,101,,298,264,30,62,13,0,9,32,0,1,24,73,0.235,0.322,0.386,0.709,102,8,10,0,0,0,4,0.291,107,99,40
Clutch Stats,Within 4 R,102,,341,300,33,70,14,0,10,34,0,1,29,81,0.233,0.323,0.38,0.703,114,9,11,0,1,0,4,0.286,105,98,46
Clutch Stats,Margin > 4 R,32,,60,57,2,12,4,0,1,2,0,0,2,12,0.211,0.25,0.333,0.583,19,2,1,0,0,0,0,0.25,69,63,7
Clutch Stats,Ahead,62,,167,150,23,40,11,0,8,25,0,0,12,30,0.267,0.335,0.5,0.835,75,5,4,0,1,0,3,0.283,141,124,21
Clutch Stats,Behind,58,,142,125,7,24,5,0,1,3,0,1,12,39,0.192,0.289,0.256,0.545,32,4,5,0,0,0,0,0.271,61,62,18
Leverage,High Lvrge,48,,63,54,12,11,3,0,1,12,0,1,5,13,0.204,0.318,0.315,0.632,17,4,4,0,0,0,0,0.25,86,78,7
Leverage,Medium Lvrge,77,,138,119,11,29,5,0,5,14,0,0,14,36,0.244,0.348,0.412,0.76,49,4,5,0,0,0,3,0.308,122,113,19
